Year,Exporting country,Importing country,Product,Value of the trade flow (thousands current USD),Quantity (in metric tons),description,Product category,hs4,hs2
2019,Papua New Guinea,Belgium,"Mineral fuels, mineral oils and products of their distillation",0.202,0.001,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Papua New Guinea,Brunei Darussalam,"Mineral fuels, mineral oils and products of their distillation",33355.049,51.93,"Gases: coal, water, producer and similar gases (excluding petroleum and other gaseous hydrocarbons)",270500,2705,27
2019,Papua New Guinea,Brunei Darussalam,"Mineral fuels, mineral oils and products of their distillation",13682.463,,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Papua New Guinea,China,"Mineral fuels, mineral oils and products of their distillation",71184.707,137738.504,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Papua New Guinea,China,"Mineral fuels, mineral oils and products of their distillation",1406220.077,2961837.0,"Petroleum gases and other gaseous hydrocarbons: liquefied, natural gas",271111,2711,27
2019,Papua New Guinea,Fiji,"Mineral fuels, mineral oils and products of their distillation",0.22,0.06,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Papua New Guinea,France,"Mineral fuels, mineral oils and products of their distillation",1.694,0.05,"Petroleum gases and other gaseous hydrocarbons: in gaseous state, other than natural gas",271129,2711,27
2019,Papua New Guinea,France,"Mineral fuels, mineral oils and products of their distillation",0.532,0.085,"Bitumen and asphalt, natural: asphaltites and asphaltic rock",271490,2714,27
2019,Papua New Guinea,"China, Hong Kong SAR","Mineral fuels, mineral oils and products of their distillation",34420.642,102712.0,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Papua New Guinea,Indonesia,"Mineral fuels, mineral oils and products of their distillation",35775.603,77702.7,"Oils: petroleum oils and oils obtained from bituminous minerals, crude",270900,2709,27
2019,Papua New Guinea,Japan,"Mineral fuels, mineral oils and products of their distillation",104949.144,203595.15,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Papua New Guinea,Japan,"Mineral fuels, mineral oils and products of their distillation",1801478.714,3741750.0,"Petroleum gases and other gaseous hydrocarbons: liquefied, natural gas",271111,2711,27
2019,Papua New Guinea,Rep. of Korea,"Mineral fuels, mineral oils and products of their distillation",92386.081,195216.2,"Oils: petroleum oils and oils obtained from bituminous minerals, crude",270900,2709,27
2019,Papua New Guinea,Rep. of Korea,"Mineral fuels, mineral oils and products of their distillation",17432.682,36836.697,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Papua New Guinea,Rep. of Korea,"Mineral fuels, mineral oils and products of their distillation",90304.542,294278.2,"Petroleum gases and other gaseous hydrocarbons: liquefied, natural gas",271111,2711,27
2019,Papua New Guinea,Malaysia,"Mineral fuels, mineral oils and products of their distillation",39906.54,77658.2,"Oils: petroleum oils and oils obtained from bituminous minerals, crude",270900,2709,27
2019,Papua New Guinea,Malaysia,"Mineral fuels, mineral oils and products of their distillation",38967.246,72971.888,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Papua New Guinea,Malaysia,"Mineral fuels, mineral oils and products of their distillation",2.759,2.336,"Bitumen and asphalt, natural: asphaltites and asphaltic rock",271490,2714,27
2019,Papua New Guinea,"Other Asia, nes","Mineral fuels, mineral oils and products of their distillation",17829.253,30707.0,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Papua New Guinea,"Other Asia, nes","Mineral fuels, mineral oils and products of their distillation",719997.032,1453840.0,"Petroleum gases and other gaseous hydrocarbons: liquefied, natural gas",271111,2711,27
2019,Papua New Guinea,Netherlands,"Mineral fuels, mineral oils and products of their distillation",0.001,0.003,"Oils: petroleum oils and oils obtained from bituminous minerals, crude",270900,2709,27
2019,Papua New Guinea,Philippines,"Mineral fuels, mineral oils and products of their distillation",972.482,2345.3,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Papua New Guinea,Philippines,"Mineral fuels, mineral oils and products of their distillation",805.725,1936.15,"Petroleum gases and other gaseous hydrocarbons: liquefied, butanes",271113,2711,27
2019,Papua New Guinea,Philippines,"Mineral fuels, mineral oils and products of their distillation",201.195,465.437,"Petroleum gases and other gaseous hydrocarbons: liquefied, n.e.c. in heading no. 2711",271119,2711,27
2019,Papua New Guinea,India,"Mineral fuels, mineral oils and products of their distillation",106.786,355.0,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Papua New Guinea,Singapore,"Mineral fuels, mineral oils and products of their distillation",94296.891,186036.0,"Oils: petroleum oils and oils obtained from bituminous minerals, crude",270900,2709,27
